CPRO,CMUN,DC,NOMBRE
2,61,6,Petrola
2,62,1,Povedilla
2,901,0,Pozo Cañada
2,63,7,Pozohondo
2,64,2,Pozo-Lorente
2,65,5,Pozuelo
2,66,8,"Recueja, La"
2,67,4,Riopar
2,68,0,Robledo
2,69,3,"Roda, La"
2,70,7,Salobre
2,71,4,San Pedro
2,72,9,Socovos
2,73,5,Tarazona de la Mancha
2,74,0,Tobarra
2,75,3,Valdeganga
2,76,6,Vianos
2,77,2,Villa de Ves
2,78,8,Villalgordo del Jucar
2,79,1,Villamalea
2,80,5,Villapalacios
2,81,2,Villarrobledo
2,82,7,Villatoya
2,83,3,Villavaliente
2,84,8,Villaverde de Guadalimar
2,85,1,Viveros
2,86,4,Yeste
3,1,5,Adsubia
3,2,0,Agost
3,3,6,Agres
3,4,1,Aigües
3,5,4,Albatera
3,6,7,Alcalali
3,7,3,Alcocer de Planes
3,8,9,Alcoleja
3,9,2,Alcoy/Alcoi
3,10,6,Alfafara
3,11,3,"Alfàs del Pi, l'"
3,12,8,Algorfa
3,13,4,Algueña
3,14,9,Alicante/Alacant
3,15,2,Almoradi
3,16,5,Almudaina
3,17,1,"Alqueria d'Asnar, l'"
3,18,7,Altea
3,19,0,Aspe
3,20,4,Balones
3,21,1,Banyeres de Mariola
3,22,6,Benasau
3,23,2,Beneixama
3,24,7,Benejuzar
3,25,0,Benferri
3,26,3,Beniarbeig
3,27,9,Beniarda
3,28,5,Beniarres
3,30,2,Benidoleig
3,31,9,Benidorm
3,32,4,Benifallim
3,33,0,Benifato
3,29,8,Benigembla
3,34,5,Benijofar
3,35,8,Benilloba
3,36,1,Benillup
3,37,7,Benimantell
3,38,3,Benimarfull
3,39,6,Benimassot
3,40,0,Benimeli
3,41,7,Benissa
3,42,2,"Benitachell/Poble Nou de Benitatxell, el"
3,43,8,Biar
3,44,3,Bigastro
3,45,6,Bolulla
3,46,9,Busot
3,49,4,Callosa de Segura
3,48,1,Callosa d'En Sarrià
3,47,5,Calp
3,50,7,"Campello, el"
3,51,4,"Campo de Mirra/Camp de Mirra, el"
3,52,9,Cañada
3,53,5,Castalla
3,54,0,Castell de Castells
3,75,9,"Castell de Guadalest, el"
3,55,3,Catral
3,56,6,Cocentaina
3,57,2,Confrides
3,58,8,Cox
3,59,1,Crevillent
3,61,2,Daya Nueva
3,62,7,Daya Vieja
3,63,3,Denia
3,64,8,Dolores
3,65,1,Elche/Elx
3,66,4,Elda
3,67,0,Facheca
3,68,6,Famorca
3,69,9,Finestrat
3,77,8,"Fondo de les Neus, el/Hondon de las Nieves"
3,70,3,Formentera del Segura
3,72,5,Gaianes
3,71,0,Gata de Gorgos
3,73,1,Gorga
3,74,6,Granja de Rocamora
3,76,2,Guardamar del Segura
3,78,4,Hondon de los Frailes
3,79,7,Ibi
3,80,1,Jacarilla
3,82,3,Javea/Xàbia
3,83,9,Jijona/Xixona
3,85,7,Lliber
3,84,4,"Lorcha/Orxa, l'"
3,86,0,Millena
3,88,2,Monforte del Cid
3,89,5,Monovar/Monòver
3,903,7,"Montesinos, Los"
3,91,6,Murla
3,92,1,Muro de Alcoy
3,90,9,Mutxamel
3,93,7,Novelda
3,94,2,"Nucia, la"
3,95,5,Ondara
3,96,8,Onil
3,97,4,Orba
3,99,3,Orihuela
3,98,0,Orxeta
3,100,7,Parcent
3,101,4,Pedreguer
3,102,9,Pego
3,103,5,Penàguila
3,104,0,Petrer
3,902,1,Pilar de la Horadada
3,105,3,"Pinos, el/Pinoso"
3,106,6,Planes
3,901,6,"Poblets, els"
3,107,2,Polop
3,60,5,Quatretondeta
3,109,1,Rafal
3,110,5,"Ràfol d'Almunia, el"
3,111,2,Redovan
3,112,7,Relleu
3,113,3,Rojales
3,114,8,"Romana, la"
3,115,1,Sagra
3,116,4,Salinas
3,118,6,San Fulgencio
3,904,2,San Isidro
3,120,3,San Miguel de Salinas
3,122,5,San Vicente del Raspeig/Sant Vicent del Raspeig
3,117,0,Sanet y Negrals
3,119,9,Sant Joan d'Alacant
3,121,0,Santa Pola
3,123,1,Sax
3,124,6,Sella
3,125,9,Senija
3,127,8,Tàrbena
3,128,4,Teulada
3,129,7,Tibi
3,130,1,Tollos
3,131,8,Tormos
3,132,3,"Torremanzanas/Torre de les Maçanes, la"
3,133,9,Torrevieja
3,134,4,"Vall d'Alcalà, la"
3,136,0,Vall de Gallinera
3,137,6,"Vall de Laguar, la"
3,135,7,"Vall d'Ebo, la"
3,138,2,"Verger, el"
3,139,5,"Villajoyosa/Vila Joiosa, la"
3,140,9,Villena
3,81,8,Xalo
4,1,0,Abla
4,2,5,Abrucena
4,3,1,Adra
4,4,6,Albanchez
4,5,9,Alboloduy
4,6,2,Albox
4,7,8,Alcolea
4,8,4,Alcontar
4,9,7,Alcudia de Monteagud
4,10,1,Alhabia
4,11,8,Alhama de Almeria
4,12,3,Alicun
4,13,9,Almeria
4,14,4,Almocita
4,15,7,Alsodux
4,16,0,Antas
4,17,6,Arboleas
4,18,2,Armuña de Almanzora
4,19,5,Bacares
4,20,9,Bayarcal
4,21,6,Bayarque
4,22,1,Bedar
4,23,7,Beires
4,24,2,Benahadux
4,26,8,Benitagla
4,27,4,Benizalon
4,28,0,Bentarique
4,29,3,Berja
4,30,7,Canjayar
4,31,4,Cantoria
4,32,9,Carboneras
4,33,5,Castro de Filabres
4,36,6,Chercos
4,37,2,Chirivel
4,34,0,Cobdar
4,35,3,Cuevas del Almanzora
4,38,8,Dalias
4,902,6,"Ejido, El"
4,41,2,Enix
4,43,3,Felix
4,44,8,Fines
4,45,1,Fiñana
4,46,4,Fondon
4,47,0,Gador
4,48,6,"Gallardos, Los"
4,49,9,Garrucha
4,50,2,Gergal
4,51,9,Huecija
4,52,4,Huercal de Almeria
4,53,0,Huercal-Overa
4,54,5,Illar
4,55,8,Instincion
4,56,1,Laroya
4,57,7,Laujar de Andarax
4,58,3,Lijar
4,59,6,Lubrin
4,60,0,Lucainena de las Torres
4,61,7,Lucar
4,62,2,Macael
4,63,8,Maria
4,64,3,Mojacar
4,903,2,"Mojonera, La"
4,65,6,Nacimiento
4,66,9,Nijar
4,67,5,Ohanes
4,68,1,Olula de Castro
4,69,4,Olula del Rio
4,70,8,Oria
4,71,5,Padules
4,72,0,Partaloa
4,73,6,Paterna del Rio
4,74,1,Pechina
4,75,4,Pulpi
4,76,7,Purchena
4,77,3,Ragol
4,78,9,Rioja
4,79,2,Roquetas de Mar
4,80,6,Santa Cruz de Marchena
4,81,3,Santa Fe de Mondujar
4,82,8,Senes
4,83,4,Seron
4,84,9,Sierro
4,85,2,Somontin
4,86,5,Sorbas
4,87,1,Sufli
4,88,7,Tabernas
4,89,0,Taberno
4,90,4,Tahal
4,91,1,Terque
4,92,6,Tijola
4,901,1,"Tres Villas, Las"
4,93,2,Turre
4,94,7,Turrillas
4,95,0,Uleila del Campo
4,96,3,Urracal
4,97,9,Velefique
4,98,5,Velez-Blanco
4,99,8,Velez-Rubio
4,100,2,Vera
4,101,9,Viator
4,102,4,Vicar
4,103,0,Zurgena
5,1,3,Adanero
5,2,8,"Adrada, La"
5,5,2,Albornos
5,7,1,Aldeanueva de Santa Cruz
5,8,7,Aldeaseca
5,10,4,"Aldehuela, La"
5,12,6,Amavida
5,13,2,"Arenal, El"
5,14,7,Arenas de San Pedro
5,15,0,Arevalillo
5,16,3,Arevalo
5,17,9,Aveinte
5,18,5,Avellaneda
5,19,8,Avila
5,21,9,"Barco de Avila, El"
5,22,4,"Barraco, El"
5,23,0,Barroman
5,24,5,Becedas
5,25,8,Becedillas
5,26,1,Bercial de Zapardiel
5,27,7,"Berlanas, Las"
5,29,6,Bernuy-Zapardiel
5,30,0,Berrocalejo de Aragona
5,33,8,Blascomillan
5,34,3,Blasconuño de Matacabras
5,35,6,Blascosancho
5,36,9,"Bohodon, El"
5,37,5,Bohoyo
5,38,1,Bonilla de la Sierra
5,39,4,Brabos
5,40,8,Bularros
5,41,5,Burgohondo
5,42,0,Cabezas de Alambre
5,43,6,Cabezas del Pozo
5,44,1,Cabezas del Villar
5,45,4,Cabizuela
5,46,7,Canales
5,47,3,Candeleda
5,48,9,Cantiveros
5,49,2,Cardeñosa
5,51,2,"Carrera, La"
5,52,7,Casas del Puerto
5,53,3,Casasola
5,54,8,Casavieja
5,55,1,Casillas
5,56,4,Castellanos de Zapardiel
5,57,0,Cebreros
5,58,6,Cepeda la Mora
5,67,8,Chamartin
5,59,9,Cillan
5,60,3,Cisla
5,61,0,"Colilla, La"
5,62,5,Collado de Contreras
5,63,1,Collado del Miron
5,64,6,Constanzana
5,65,9,Crespos
5,66,2,Cuevas del Valle
5,903,5,Diego del Carpio
5,69,7,Donjimeno
5,70,1,Donvidas
5,72,3,Espinosa de los Caballeros
5,73,9,Flores de Avila
5,74,4,Fontiveros
5,75,7,Fresnedilla
5,76,0,"Fresno, El"
5,77,6,Fuente el Sauz
5,78,2,Fuentes de Año
5,79,5,Gallegos de Altamiros
5,80,9,Gallegos de Sobrinos
5,81,6,Garganta del Villar
5,82,1,Gavilanes
5,83,7,Gemuño
5,85,5,Gil Garcia
5,84,2,Gilbuena
5,86,8,Gimialcon
5,87,4,Gotarrendura
5,88,0,Grandes y San Martin
5,89,3,Guisando
5,90,7,Gutierre-Muñoz
5,92,9,Hernansancho
5,93,5,Herradon de Pinares
5,94,0,Herreros de Suso
5,95,3,Higuera de las Dueñas
5,96,6,"Hija de Dios, La"
5,97,2,"Horcajada, La"
5,99,1,Horcajo de las Torres
5,100,5,"Hornillo, El"
5,102,7,"Hoyo de Pinares, El"
5,101,2,Hoyocasero
5,103,3,Hoyorredondo
5,106,4,Hoyos de Miguel Muñoz
5,104,8,Hoyos del Collado
5,105,1,Hoyos del Espino
5,107,0,Hurtumpascual
5,108,6,Junciana
5,109,9,Langa
5,110,3,Lanzahita
5,113,1,"Llanos de Tormes, Los"
5,112,5,"Losar del Barco, El"
5,114,6,Madrigal de las Altas Torres
5,115,9,Maello
5,116,2,Malpartida de Corneja
5,117,8,Mamblas
5,118,4,Mancera de Arriba
5,119,7,Manjabalago
5,120,1,Marlin
5,121,8,Martiherrero
5,122,3,Martinez
5,123,9,Mediana de Voltoya
5,124,4,Medinilla
5,125,7,Mengamuñoz
5,126,0,Mesegar de Corneja
5,127,6,Mijares
5,128,2,Mingorria
5,129,5,"Miron, El"
5,130,9,Mironcillo
5,131,6,Mirueña de los Infanzones
5,132,1,Mombeltran
5,133,7,Monsalupe
5,134,2,Moraleja de Matacabras
5,135,5,Muñana
5,136,8,Muñico
5,138,0,Muñogalindo
5,139,3,Muñogrande
5,140,7,Muñomer del Peco
5,141,4,Muñopepe
5,142,9,Muñosancho
5,143,5,Muñotello
5,144,0,Narrillos del Alamo
5,145,3,Narrillos del Rebollar
5,149,1,Narros de Saldueña
5,147,2,Narros del Castillo
5,148,8,Narros del Puerto
5,152,6,Nava de Arevalo
5,153,2,Nava del Barco
5,151,1,Navacepedilla de Corneja
5,154,7,Navadijos
5,155,0,Navaescurial
5,156,3,Navahondilla
5,157,9,Navalacruz
5,158,5,Navalmoral
5,159,8,Navalonguilla
5,160,2,Navalosa
5,161,9,Navalperal de Pinares
5,162,4,Navalperal de Tormes
5,163,0,Navaluenga
5,164,5,Navaquesera
5,165,8,Navarredonda de Gredos
5,166,1,Navarredondilla
5,167,7,Navarrevisca
5,168,3,"Navas del Marques, Las"
5,169,6,Navatalgordo
5,170,0,Navatejares
5,171,7,Neila de San Miguel
5,172,2,Niharra
5,173,8,Ojos-Albos
5,174,3,Orbita
5,175,6,"Oso, El"
5,176,9,Padiernos
5,177,5,Pajares de Adaja
5,178,1,Palacios de Goda
5,179,4,Papatrigo
5,180,8,"Parral, El"
5,181,5,Pascualcobo
5,182,0,Pedro Bernardo
5,183,6,Pedro-Rodriguez
5,184,1,Peguerinos
5,185,4,Peñalba de Avila
5,186,7,Piedrahita
5,187,3,Piedralaves
5,188,9,Poveda
5,189,2,Poyales del Hoyo
5,190,6,Pozanco
5,191,3,Pradosegar
5,192,8,Puerto Castilla
5,193,4,Rasueros
5,194,9,Riocabado
5,195,2,Riofrio
5,196,5,Rivilla de Barajas
5,197,1,Salobral
5,198,7,Salvadios
5,199,0,San Bartolome de Bejar
5,200,4,San Bartolome de Corneja
5,201,1,San Bartolome de Pinares
5,206,3,San Esteban de los Patos
5,208,5,San Esteban de Zapardiel
5,207,9,San Esteban del Valle
5,209,8,San Garcia de Ingelmos
5,901,4,San Juan de Gredos
5,210,2,San Juan de la Encinilla
5,211,9,San Juan de la Nava
5,212,4,San Juan del Molinillo
5,213,0,San Juan del Olmo
5,214,5,San Lorenzo de Tormes
5,215,8,San Martin de la Vega del Alberche
5,216,1,San Martin del Pimpollar
5,217,7,San Miguel de Corneja
5,218,3,San Miguel de Serrezuela
5,219,6,San Pascual
5,220,0,San Pedro del Arroyo
5,231,5,San Vicente de Arevalo
5,204,7,Sanchidrian
5,205,0,Sanchorreja
5,222,2,Santa Cruz de Pinares
5,221,7,Santa Cruz del Valle
5,226,9,Santa Maria de los Caballeros
5,224,3,Santa Maria del Arroyo
5,225,6,Santa Maria del Berrocal
5,902,9,Santa Maria del Cubillo
5,227,5,Santa Maria del Tietar
5,228,1,Santiago del Collado
5,904,0,Santiago del Tormes
5,229,4,Santo Domingo de las Posadas
5,230,8,Santo Tome de Zabarcos
5,232,0,"Serrada, La"
5,233,6,Serranillos
5,234,1,Sigeres
5,235,4,Sinlabajos
5,236,7,Solana de Avila
5,237,3,Solana de Rioalmar
5,238,9,Solosancho
5,239,2,Sotalbo
5,240,6,Sotillo de la Adrada
5,241,3,"Tiemblo, El"
5,242,8,Tiñosillos
5,243,4,Tolbaños
5,244,9,Tormellas
5,245,2,Tornadizos de Avila
5,247,1,"Torre, La"
5,246,5,Tortoles
5,249,0,Umbrias
5,251,0,Vadillo de la Sierra
5,252,5,Valdecasa
5,253,1,Vega de Santa Maria
5,254,6,Velayos
5,256,2,Villaflor
5,257,8,Villafranca de la Sierra
5,905,3,Villanueva de Avila
5,258,4,Villanueva de Gomez
5,259,7,Villanueva del Aceral
5,260,1,Villanueva del Campillo
5,261,8,Villar de Corneja
5,262,3,Villarejo del Valle
5,263,9,Villatoro
5,264,4,Viñegra de Moraña
5,265,7,Vita
5,266,0,Zapardiel de la Cañada
5,267,6,Zapardiel de la Ribera
6,1,6,Acedera
6,2,1,Aceuchal
6,3,7,Ahillones
6,4,2,Alange
6,5,5,"Albuera, La"
6,6,8,Alburquerque
6,7,4,Alconchel
6,8,0,Alconera
6,9,3,Aljucen
6,10,7,Almendral
6,11,4,Almendralejo
6,12,9,Arroyo de San Servan
6,13,5,Atalaya
6,14,0,Azuaga
6,15,3,Badajoz
6,16,6,Barcarrota
6,17,2,Baterno
6,18,8,Benquerencia de la Serena
6,19,1,Berlanga
6,20,5,Bienvenida
6,21,2,Bodonal de la Sierra
6,22,7,Burguillos del Cerro
6,23,3,Cabeza del Buey
6,24,8,Cabeza la Vaca
6,25,1,Calamonte
6,26,4,Calera de Leon
6,27,0,Calzadilla de los Barros
6,28,6,Campanario
6,29,9,Campillo de Llerena
6,30,3,Capilla
6,31,0,Carmonita
6,32,5,"Carrascalejo, El"
6,33,1,Casas de Don Pedro
6,34,6,Casas de Reina
6,35,9,Castilblanco
6,36,2,Castuera
6,42,3,Cheles
6,37,8,"Codosera, La"
6,38,4,Cordobilla de Lacara
6,39,7,"Coronada, La"
6,40,1,Corte de Peleas
6,41,8,Cristina
6,43,9,Don Alvaro
6,44,4,Don Benito
6,45,7,Entrin Bajo
6,46,0,Esparragalejo
6,47,6,Esparragosa de la Serena
6,48,2,Esparragosa de Lares
6,49,5,Feria
6,50,8,Fregenal de la Sierra
6,51,5,Fuenlabrada de los Montes
6,52,0,Fuente de Cantos
6,53,6,Fuente del Arco
6,54,1,Fuente del Maestre
6,55,4,Fuentes de Leon
6,56,7,Garbayuela
6,57,3,Garlitos
6,58,9,"Garrovilla, La"
6,59,2,Granja de Torrehermosa
6,60,6,Guareña
6,61,3,"Haba, La"
6,62,8,Helechosa de los Montes
6,63,4,Herrera del Duque
6,64,9,Higuera de la Serena
6,65,2,Higuera de Llerena
6,66,5,Higuera de Vargas
6,67,1,Higuera la Real
6,68,7,Hinojosa del Valle
6,69,0,Hornachos
6,70,4,Jerez de los Caballeros
6,71,1,"Lapa, La"
6,73,2,Llera
6,74,7,Llerena
6,72,6,Lobon
6,75,0,Magacela
6,76,3,Maguilla
6,77,9,Malcocinado
6,78,5,Malpartida de la Serena
6,79,8,Manchita
6,80,2,Medellin
6,81,9,Medina de las Torres
6,82,4,Mengabril
6,83,0,Merida
6,84,5,Mirandilla
6,85,8,Monesterio
6,86,1,Montemolin
6,87,7,Monterrubio de la Serena
6,88,3,Montijo
6,89,6,"Morera, La"
6,90,0,"Nava de Santiago, La"
6,91,7,Navalvillar de Pela
6,92,2,Nogales
6,93,8,Oliva de la Frontera
6,94,3,Oliva de Merida
6,95,6,Olivenza
6,96,9,Orellana de la Sierra
6,97,5,Orellana la Vieja
6,98,1,Palomas
6,99,4,"Parra, La"
6,100,8,Peñalsordo
6,101,5,Peraleda del Zaucejo
6,102,0,Puebla de Alcocer
6,103,6,Puebla de la Calzada
6,104,1,Puebla de la Reina
6,107,3,Puebla de Obando
6,108,9,Puebla de Sancho Perez
6,105,4,Puebla del Maestre
6,106,7,Puebla del Prior
6,902,2,Pueblonuevo del Guadiana
6,109,2,Quintana de la Serena
6,110,6,Reina
6,111,3,Rena
6,112,8,Retamal de Llerena
6,113,4,Ribera del Fresno
6,114,9,Risco
6,115,2,"Roca de la Sierra, La"
6,116,5,Salvaleon
6,117,1,Salvatierra de los Barros
6,119,0,San Pedro de Merida
6,123,2,San Vicente de Alcantara
6,118,7,Sancti-Spiritus
6,120,4,Santa Amalia
6,121,1,Santa Marta
6,122,6,"Santos de Maimona, Los"
6,124,7,Segura de Leon
6,125,0,Siruela
6,126,3,Solana de los Barros
6,127,9,Talarrubias
6,128,5,Talavera la Real
6,129,8,Taliga
6,130,2,Tamurejo
6,131,9,Torre de Miguel Sesmero
6,132,4,Torremayor
6,133,0,Torremejia
6,134,5,Trasierra
6,135,8,Trujillanos
6,136,1,Usagre
6,137,7,Valdecaballeros
6,901,7,Valdelacalzada
6,138,3,Valdetorres
6,139,6,Valencia de las Torres
6,140,0,Valencia del Mombuey
6,141,7,Valencia del Ventoso
6,146,9,Valle de la Serena
6,147,5,Valle de Matamoros
6,148,1,Valle de Santa Ana
6,142,2,Valverde de Burguillos
6,143,8,Valverde de Leganes
6,144,3,Valverde de Llerena
6,145,6,Valverde de Merida
6,149,4,Villafranca de los Barros
6,150,7,Villagarcia de la Torre
6,151,4,Villagonzalo
6,152,9,Villalba de los Barros
6,153,5,Villanueva de la Serena
6,154,0,Villanueva del Fresno
6,156,6,Villar de Rena
6,155,3,Villar del Rey
6,157,2,Villarta de los Montes
6,158,8,Zafra
6,159,1,Zahinos
6,160,5,Zalamea de la Serena
6,162,7,"Zarza, La"
6,161,2,Zarza-Capilla
7,2,7,Alaior
7,1,2,Alaro
7,3,3,Alcudia
7,4,8,Algaida
7,5,1,Andratx
7,901,3,Ariany
7,6,4,Artà
7,7,0,Banyalbufar
7,8,6,Binissalem
7,9,9,Buger
7,10,3,Bunyola
7,11,0,Calvià
7,12,5,Campanet
7,13,1,Campos
7,14,6,Capdepera
7,64,5,"Castell, Es"
7,15,9,Ciutadella de Menorca
7,16,2,Consell
7,17,8,Costitx
7,18,4,Deya
7,26,0,Eivissa
7,19,7,Escorca
7,20,1,Esporles
7,21,8,Estellencs
7,22,3,Felanitx
7,23,9,Ferreries
7,24,4,Formentera
7,25,7,Fornalutx
7,27,6,Inca
7,28,2,Lloret de Vistalegre
7,29,5,Lloseta
7,30,9,Llubi
7,31,6,Llucmajor
7,33,7,Manacor
7,34,2,Mancor de la Vall
7,32,1,Mao
7,35,5,Maria de la Salut
7,36,8,Marratxi
7,37,4,"Mercadal, Es"
7,902,8,"Migjorn Gran, Es"
7,38,0,Montuïri
7,39,3,Muro
7,40,7,Palma
7,41,4,Petra
7,44,0,"Pobla, Sa"
7,42,9,Pollença
7,43,5,Porreres
7,45,3,Puigpunyent
7,59,8,"Salines, Ses"
7,46,6,Sant Antoni de Portmany
7,49,1,Sant Joan
7,50,4,Sant Joan de Labritja
7,48,8,Sant Josep de sa Talaia
7,51,1,Sant Llorenç des Cardassar
7,52,6,Sant Lluis
7,53,2,Santa Eugènia
7,54,7,Santa Eulalia del Rio
7,55,0,Santa Margalida
7,56,3,Santa Maria del Cami
7,57,9,Santanyi
7,58,5,Selva
7,47,2,Sencelles
7,60,2,Sineu
7,61,9,Soller
7,62,4,Son Servera
7,63,0,Valldemossa
7,65,8,Vilafranca de Bonany
8,1,8,Abrera
8,2,3,Aguilar de Segarra
8,14,2,Aiguafreda
8,3,9,Alella
8,4,4,Alpens
8,5,7,"Ametlla del Vallès, L'"
8,6,0,Arenys de Mar
8,7,6,Arenys de Munt
8,8,2,Argençola
8,9,5,Argentona
8,10,9,Artes
8,11,6,Avià
8,12,1,Avinyo
8,13,7,Avinyonet del Penedès
8,15,5,Badalona
8,904,5,Badia del Vallès
8,16,8,Bagà
8,17,4,Balenyà
8,18,0,Balsareny
8,252,0,Barberà del Vallès
8,19,3,Barcelona
8,20,7,Begues
8,21,4,Bellprat
8,22,9,Berga
8,23,5,Bigues i Riells
8,24,0,Borredà
8,25,3,"Bruc, El"
8,26,6,"Brull, El"
8,27,2,"Cabanyes, Les"
8,28,8,Cabrera d'Anoia
8,29,1,Cabrera de Mar
8,30,5,Cabrils
8,31,2,Calaf
8,34,8,Calders
8,33,3,Caldes de Montbui
8,32,7,Caldes d'Estrac
8,35,1,Calella
8,37,0,Calldetenes
8,38,6,Callus
8,36,4,Calonge de Segarra
8,39,9,Campins
8,40,3,Canet de Mar
8,41,0,Canovelles
8,42,5,Cànoves i Samalus
8,43,1,Canyelles
8,44,6,Capellades
8,45,9,Capolat
8,46,2,Cardedeu
8,47,8,Cardona
8,48,4,Carme
8,49,7,Casserres
8,57,5,Castell de l'Areny
8,52,2,Castellar de n'Hug
8,50,0,Castellar del Riu
8,51,7,Castellar del Vallès
8,53,8,Castellbell i el Vilar
8,54,3,Castellbisbal
8,55,6,Castellcir
8,56,9,Castelldefels
8,58,1,Castellet i la Gornal
8,60,8,Castellfollit de Riubregos
8,59,4,Castellfollit del Boix
8,61,5,Castellgali
8,62,0,Castellnou de Bages
8,63,6,Castelloli
8,64,1,Castellterçol
8,65,4,Castellvi de la Marca
8,66,7,Castellvi de Rosanes
8,67,3,Centelles
8,268,7,Cercs
8,266,5,Cerdanyola del Vallès
8,68,9,Cervello
8,69,2,Collbato
8,70,6,Collsuspina
8,71,3,Copons
8,72,8,Corbera de Llobregat
8,73,4,Cornellà de Llobregat
8,74,9,Cubelles
8,75,2,Dosrius
8,76,5,Esparreguera
8,77,1,Esplugues de Llobregat
8,78,7,"Espunyola, L'"
8,79,0,"Estany, L'"
8,134,7,Figaro-Montmany
8,80,4,Figols
8,82,6,Fogars de la Selva
8,81,1,Fogars de Montclus
8,83,2,Folgueroles
8,84,7,Fonollosa
8,85,0,Font-rubi
8,86,3,"Franqueses del Vallès, Les"
8,90,2,Gaià
8,87,9,Gallifa
8,88,5,"Garriga, La"
8,89,8,Gavà
8,91,9,Gelida
8,92,4,Gironella
8,93,0,Gisclareny
8,94,5,"Granada, La"
8,95,8,Granera
8,96,1,Granollers
8,97,7,Gualba
8,99,6,Guardiola de Berguedà
8,100,0,Gurb
8,101,7,"Hospitalet de Llobregat, L'"
8,162,9,"Hostalets de Pierola, Els"
8,102,2,Igualada
8,103,8,Jorba
8,104,3,"Llacuna, La"
8,105,6,"Llagosta, La"
8,107,5,Lliçà d'Amunt
8,108,1,Lliçà de Vall
8,106,9,Llinars del Vallès
8,109,4,Lluçà
8,110,8,Malgrat de Mar
8,111,5,Malla
8,112,0,Manlleu
8,113,6,Manresa
8,242,3,Marganell
8,114,1,Martorell
8,115,4,Martorelles
8,116,7,"Masies de Roda, Les"
8,117,3,"Masies de Voltregà, Les"
8,118,9,"Masnou, El"
8,119,2,Masquefa
8,120,6,Matadepera
8,121,3,Mataro
8,122,8,Mediona
8,138,5,Moià
8,123,4,Molins de Rei
8,124,9,Mollet del Vallès
8,128,7,Monistrol de Calders
8,127,1,Monistrol de Montserrat
8,125,2,Montcada i Reixac
8,130,4,Montclar
8,131,1,Montesquiu
8,126,5,Montgat
8,132,6,Montmajor
8,133,2,Montmaneu
8,135,0,Montmelo
